ID,Name,Link
1178,Lufia II: Rise of the Sinistrals,https://www.igdb.com/games/lufia-ii-rise-of-the-sinistrals
1253,The Lost Vikings 2,https://www.igdb.com/games/the-lost-vikings-2
1263,Sparkster,https://www.igdb.com/games/sparkster
1359,Secret of Evermore,https://www.igdb.com/games/secret-of-evermore
1536,Pocky & Rocky 2,https://www.igdb.com/games/pocky-rocky-2
2739,Tetris Attack,https://www.igdb.com/games/tetris-attack
3044,ACME Animation Factory,https://www.igdb.com/games/acme-animation-factory
3054,Bugs Bunny Rabbit Rampage,https://www.igdb.com/games/bugs-bunny-rabbit-rampage
3287,Mighty Morphin Power Rangers: The Fighting Edition,https://www.igdb.com/games/mighty-morphin-power-rangers-the-fighting-edition
3295,Power Rangers Zeo: Battle Racers,https://www.igdb.com/games/power-rangers-zeo-battle-racers
3324,Mighty Morphin Power Rangers,https://www.igdb.com/games/mighty-morphin-power-rangers-fa4e8d30-d1cf-46cb-8c9c-e8dd087abaa8
3653,HAL's Hole in One Golf,https://www.igdb.com/games/hal-s-hole-in-one-golf
4859,Inspector Gadget,https://www.igdb.com/games/inspector-gadget
5332,Super R.B.I. Baseball,https://www.igdb.com/games/super-r-b-i-baseball
5346,The Adventures of Batman & Robin,https://www.igdb.com/games/the-adventures-of-batman-robin
6379,The Magical Quest Starring Mickey Mouse,https://www.igdb.com/games/the-magical-quest-starring-mickey-mouse
7562,Rocko's Modern Life: Spunky's Dangerous Day,https://www.igdb.com/games/rocko-s-modern-life-spunky-s-dangerous-day
7824,Choplifter III,https://www.igdb.com/games/choplifter-iii
7985,The Ren & Stimpy Show: Fire Dogs,https://www.igdb.com/games/the-ren-and-stimpy-show-fire-dogs
8068,SWAT Kats: The Radical Squadron,https://www.igdb.com/games/swat-kats-the-radical-squadron
8076,Speedy Gonzales: Los Gatos Bandidos,https://www.igdb.com/games/speedy-gonzales-los-gatos-bandidos
8099,Road Runner's Death Valley Rally,https://www.igdb.com/games/road-runners-death-valley-rally
8102,The Ren & Stimpy Show: Time Warp,https://www.igdb.com/games/the-ren-and-stimpy-show-time-warp
8132,Daffy Duck: The Marvin Missions,https://www.igdb.com/games/daffy-duck-the-marvin-missions
8142,King Arthur & the Knights of Justice,https://www.igdb.com/games/king-arthur-and-the-knights-of-justice
8450,The Flintstones: The Treasure of Sierra Madrock,https://www.igdb.com/games/the-flintstones-the-treasure-of-sierra-madrock
9615,Ken Griffey Jr. Presents Major League Baseball,https://www.igdb.com/games/ken-griffey-jr-presents-major-league-baseball
10677,Jurassic Park Part 2: The Chaos Continues,https://www.igdb.com/games/jurassic-park-part-2-the-chaos-continues
10685,BioMetal,https://www.igdb.com/games/biometal
11067,Jurassic Park,https://www.igdb.com/games/jurassic-park--1
11541,Home Improvement: Power Tool Pursuit!,https://www.igdb.com/games/home-improvement-power-tool-pursuit
11665,Young Merlin,https://www.igdb.com/games/young-merlin
14386,Metal Warriors,https://www.igdb.com/games/metal-warriors
14502,Home Alone 2: Lost in New York,https://www.igdb.com/games/home-alone-2-lost-in-new-york
14531,Tetris & Dr. Mario,https://www.igdb.com/games/tetris-and-dr-mario
15220,Imperium,https://www.igdb.com/games/imperium--1
16288,Brain Lord,https://www.igdb.com/games/brain-lord
16743,Uniracers,https://www.igdb.com/games/uniracers
18613,GP-1,https://www.igdb.com/games/gp-1
18616,Super Scope 6,https://www.igdb.com/games/super-scope-6--1
18714,The Ninja Warriors,https://www.igdb.com/games/the-ninja-warriors--1
18986,Captain Novolin,https://www.igdb.com/games/captain-novolin
19188,MechWarrior,https://www.igdb.com/games/mechwarrior--1
20173,Shien's Revenge,https://www.igdb.com/games/shiens-revenge
22358,Run Saber,https://www.igdb.com/games/run-saber
26502,Unholy Night: The Darkness Hunter,https://www.igdb.com/games/unholy-night-the-darkness-hunter
28389,Plok,https://www.igdb.com/games/plok
36729,Battle Cars,https://www.igdb.com/games/battle-cars
37248,World Masters Golf,https://www.igdb.com/games/world-masters-golf
37249,World League Soccer,https://www.igdb.com/games/world-league-soccer
37252,World Cup USA 94,https://www.igdb.com/games/world-cup-usa-94--1
37253,World Class Rugby,https://www.igdb.com/games/world-class-rugby
37254,Wordtris,https://www.igdb.com/games/wordtris
37257,Winter Gold,https://www.igdb.com/games/winter-gold
37735,N-Warp Daisakusen,https://www.igdb.com/games/n-warp-daisakusen
37809,Super Naxat Open,https://www.igdb.com/games/super-naxat-open
37870,Rap Basketball,https://www.igdb.com/games/rap-basketball
37884,Mortal Kombat Mythologies: Gold 2000,https://www.igdb.com/games/mortal-kombat-mythologies-gold-2000
37885,ShadowHawk,https://www.igdb.com/games/shadowhawk
37890,Grump's Dream Course,https://www.igdb.com/games/grumps-dream-course
38192,Multi-Purpose Arcade Combat Simulator,https://www.igdb.com/games/multi-purpose-arcade-combat-simulator
38193,Super Hockey '94,https://www.igdb.com/games/super-hockey-94
38196,Super Ice Hockey,https://www.igdb.com/games/super-ice-hockey
38224,Super Copa,https://www.igdb.com/games/super-copa
38254,Super Mario Bros.: The Lost Levels Deluxe,https://www.igdb.com/games/super-mario-bros-dot-the-lost-levels-deluxe
38258,Flying Hero: Bugyuru's Adventure,https://www.igdb.com/games/flying-hero-bugyurus-adventure
38259,F-Zero: The Lost Tracks,https://www.igdb.com/games/f-zero-the-lost-tracks
38266,Chrono Trigger: Crimson Echoes,https://www.igdb.com/games/chrono-trigger-crimson-echoes
38289,Congo the Movie: The Secret of Zinj,https://www.igdb.com/games/congo-the-movie-the-secret-of-zinj
38293,Ronaldinho Soccer 97,https://www.igdb.com/games/ronaldinho-soccer-97
38294,Oh No! More Zombies Ate My Neighbors,https://www.igdb.com/games/oh-no-more-zombies-ate-my-neighbors
38300,Steven Seagal is The Final Option,https://www.igdb.com/games/steven-seagal-is-the-final-option
38302,Ronaldinho Campeonato Brasileiro 98,https://www.igdb.com/games/ronaldinho-campeonato-brasileiro-98
38305,Yoshi's Strange Quest,https://www.igdb.com/games/yoshis-strange-quest
38306,Toad's World,https://www.igdb.com/games/toads-world
38341,Captain Tsubasa J,https://www.igdb.com/games/captain-tsubasa-j
38394,Super Soccer Champ,https://www.igdb.com/games/super-soccer-champ
38397,War 3010: The Revolution,https://www.igdb.com/games/war-3010-the-revolution
38398,War 2410,https://www.igdb.com/games/war-2410
38399,Wing Commander: The Secret Missions,https://www.igdb.com/games/wing-commander-the-secret-missions
38400,WildSnake,https://www.igdb.com/games/wildsnake
38401,True Golf Classics: Wicked 18,https://www.igdb.com/games/true-golf-classics-wicked-18
38404,WCW SuperBrawl Wrestling,https://www.igdb.com/games/wcw-superbrawl-wrestling
38407,Xardion,https://www.igdb.com/games/xardion
38411,Super Valis IV,https://www.igdb.com/games/super-valis-iv
38413,Ultimate Fighter,https://www.igdb.com/games/ultimate-fighter
38414,Ultima: Runes of Virtue II,https://www.igdb.com/games/ultima-runes-of-virtue-ii
38415,Universal Soldier,https://www.igdb.com/games/universal-soldier
38418,Super Godzilla,https://www.igdb.com/games/super-godzilla
38419,Super Goal! 2,https://www.igdb.com/games/super-goal-2
38421,Super Conflict: The Mideast,https://www.igdb.com/games/super-conflict-the-mideast
38422,Super Chase H.Q.,https://www.igdb.com/games/super-chase-hq
38425,Super Battletank 2,https://www.igdb.com/games/super-battletank-2
38427,Super Batter Up,https://www.igdb.com/games/super-batter-up
38428,Super Bases Loaded 3: License to Steal,https://www.igdb.com/games/super-bases-loaded-3-license-to-steal
38429,Super Bases Loaded 2,https://www.igdb.com/games/super-bases-loaded-2
38430,Lock On,https://www.igdb.com/games/lock-on--2
38431,Street Hockey '95,https://www.igdb.com/games/street-hockey-95
38432,Street Combat,https://www.igdb.com/games/street-combat
38433,Stone Protectors,https://www.igdb.com/games/stone-protectors
38434,Sterling Sharpe: End 2 End,https://www.igdb.com/games/sterling-sharpe-end-2-end
38437,Sports Illustrated Championship Football & Baseball,https://www.igdb.com/games/sports-illustrated-championship-football-and-baseball
39039,Super Putty,https://www.igdb.com/games/super-putty
39507,Relief Pitcher,https://www.igdb.com/games/relief-pitcher
42200,Bananas de Pijamas,https://www.igdb.com/games/bananas-de-pijamas
42203,Super SpongeBob Kart,https://www.igdb.com/games/super-spongebob-kart
42204,Mario Kart R,https://www.igdb.com/games/mario-kart-r
42205,Metroid: Super Zero Mission,https://www.igdb.com/games/metroid-super-zero-mission
42206,Hyper Street Kart,https://www.igdb.com/games/hyper-street-kart
42207,Conker's High Rule Tail,https://www.igdb.com/games/conkers-high-rule-tail
42208,Super Mario World: The Secret of the 7 Golden Statues,https://www.igdb.com/games/super-mario-world-the-secret-of-the-7-golden-statues
42209,Super Metroid: Eris,https://www.igdb.com/games/super-metroid-eris
42213,Super Zugan 2,https://www.igdb.com/games/super-zugan-2
42215,Hind Strike,https://www.igdb.com/games/hind-strike
42240,Simulation Pro Yakyuu 2,https://www.igdb.com/games/simulation-pro-yakyuu-2
42244,Fireteam Rogue,https://www.igdb.com/games/fireteam-rogue
42246,Eurit,https://www.igdb.com/games/eurit
42319,Mario & Luigi: Starlight Island Adventure,https://www.igdb.com/games/mario-and-luigi-starlight-island-adventure
42332,Chrono Trigger: Flames of Eternity,https://www.igdb.com/games/chrono-trigger-flames-of-eternity
42344,Buck Rogers: The Arcade Game,https://www.igdb.com/games/buck-rogers-the-arcade-game
42365,Star Fox: Super Weekend,https://www.igdb.com/games/star-fox-super-weekend
42375,Nightmare Busters,https://www.igdb.com/games/nightmare-busters
42402,Eric Cantona Football Challenge,https://www.igdb.com/games/eric-cantona-football-challenge
42424,Wheel of Fortune: Deluxe Edition,https://www.igdb.com/games/wheel-of-fortune-deluxe-edition
42430,Super Bases Loaded,https://www.igdb.com/games/super-bases-loaded
42434,Apocalypse II,https://www.igdb.com/games/apocalypse-ii
42437,Ultima: The Black Gate,https://www.igdb.com/games/ultima-the-black-gate
42438,Turn and Burn: No-Fly Zone,https://www.igdb.com/games/turn-and-burn-no-fly-zone
42440,TKO Super Championship Boxing,https://www.igdb.com/games/tko-super-championship-boxing
42442,Time Slip,https://www.igdb.com/games/time-slip
42443,The Sporting News Baseball,https://www.igdb.com/games/the-sporting-news-baseball
42445,Tecmo Super Bowl III: Final Edition,https://www.igdb.com/games/tecmo-super-bowl-iii-final-edition
42448,Super Troll Islands,https://www.igdb.com/games/super-troll-islands
42449,Super Strike Eagle,https://www.igdb.com/games/super-strike-eagle
42450,Super Solitaire,https://www.igdb.com/games/super-solitaire
42451,Super Slapshot,https://www.igdb.com/games/super-slapshot
42452,Super Slam Dunk,https://www.igdb.com/games/super-slam-dunk
42453,Super Shadow of the Beast,https://www.igdb.com/games/super-shadow-of-the-beast
42454,Super Play Action Football,https://www.igdb.com/games/super-play-action-football
42456,Super International Cricket,https://www.igdb.com/games/super-international-cricket
42457,Speed Racer in My Most Dangerous Adventures,https://www.igdb.com/games/speed-racer-in-my-most-dangerous-adventures
42458,Space Football: One on One,https://www.igdb.com/games/space-football-one-on-one
42459,Sonic Blast Man II,https://www.igdb.com/games/sonic-blast-man-ii
42465,The Shadow,https://www.igdb.com/games/the-shadow
42466,RPM Racing,https://www.igdb.com/games/rpm-racing
42468,RHI Roller Hockey '95,https://www.igdb.com/games/rhi-roller-hockey-95
42469,Q*bert 3,https://www.igdb.com/games/q-star-bert-3
42471,Power Piggs of the Dark Age,https://www.igdb.com/games/power-piggs-of-the-dark-age
42472,Porky Pig's Haunted Holiday,https://www.igdb.com/games/porky-pigs-haunted-holiday
42475,Packy & Marlon,https://www.igdb.com/games/packy-and-marlon
42477,Nolan Ryan's Baseball,https://www.igdb.com/games/nolan-ryans-baseball
42478,Nickelodeon Guts,https://www.igdb.com/games/nickelodeon-guts
42480,NCAA Basketball,https://www.igdb.com/games/ncaa-basketball
42485,Mountain Bike Rally,https://www.igdb.com/games/mountain-bike-rally
42487,Mohawk & Headphone Jack,https://www.igdb.com/games/mohawk-and-headphone-jack
42488,Mickey's Playtown Adventure: A Day of Discovery!,https://www.igdb.com/games/mickeys-playtown-adventure-a-day-of-discovery
42490,Michael Jordan: Chaos in the Windy City,https://www.igdb.com/games/michael-jordan-chaos-in-the-windy-city
42491,Lothar Matthäus Super Soccer,https://www.igdb.com/games/lothar-matthaus-super-soccer
42494,Jeff's Shoot'Em Up,https://www.igdb.com/games/jeffs-shootem-up
42495,Super Widget,https://www.igdb.com/games/super-widget
42496,Michael Andretti's Indy Car Challenge,https://www.igdb.com/games/michael-andrettis-indy-car-challenge
42498,Mecarobot Golf,https://www.igdb.com/games/mecarobot-golf
42499,Mark Davis': The Fishing Master,https://www.igdb.com/games/mark-davis-the-fishing-master
42503,Manchester United Championship Soccer,https://www.igdb.com/games/manchester-united-championship-soccer
