ID,Name,Link
3,Linux,https://www.igdb.com/platforms/linux
4,Nintendo 64,https://www.igdb.com/platforms/n64
5,Wii,https://www.igdb.com/platforms/wii
6,PC (Microsoft Windows),https://www.igdb.com/platforms/win
7,PlayStation,https://www.igdb.com/platforms/ps
8,PlayStation 2,https://www.igdb.com/platforms/ps2
9,PlayStation 3,https://www.igdb.com/platforms/ps3
11,Xbox,https://www.igdb.com/platforms/xbox
12,Xbox 360,https://www.igdb.com/platforms/xbox360
13,DOS,https://www.igdb.com/platforms/dos
14,Mac,https://www.igdb.com/platforms/mac
15,Commodore C64/128/MAX,https://www.igdb.com/platforms/c64
16,Amiga,https://www.igdb.com/platforms/amiga
18,Nintendo Entertainment System,https://www.igdb.com/platforms/nes
19,Super Nintendo Entertainment System,https://www.igdb.com/platforms/snes
20,Nintendo DS,https://www.igdb.com/platforms/nds
21,Nintendo GameCube,https://www.igdb.com/platforms/ngc
22,Game Boy Color,https://www.igdb.com/platforms/gbc
23,Dreamcast,https://www.igdb.com/platforms/dc
24,Game Boy Advance,https://www.igdb.com/platforms/gba
25,Amstrad CPC,https://www.igdb.com/platforms/acpc
26,ZX Spectrum,https://www.igdb.com/platforms/zxs
27,MSX,https://www.igdb.com/platforms/msx
29,Sega Mega Drive/Genesis,https://www.igdb.com/platforms/genesis-slash-megadrive
30,Sega 32X,https://www.igdb.com/platforms/sega32
32,Sega Saturn,https://www.igdb.com/platforms/saturn
33,Game Boy,https://www.igdb.com/platforms/gb
34,Android,https://www.igdb.com/platforms/android
35,Sega Game Gear,https://www.igdb.com/platforms/gamegear
37,Nintendo 3DS,https://www.igdb.com/platforms/3ds
38,PlayStation Portable,https://www.igdb.com/platforms/psp
39,iOS,https://www.igdb.com/platforms/ios
41,Wii U,https://www.igdb.com/platforms/wiiu
42,N-Gage,https://www.igdb.com/platforms/ngage
44,Tapwave Zodiac,https://www.igdb.com/platforms/zod
46,PlayStation Vita,https://www.igdb.com/platforms/psvita
47,Virtual Console,https://www.igdb.com/platforms/vc
48,PlayStation 4,https://www.igdb.com/platforms/ps4--1
49,Xbox One,https://www.igdb.com/platforms/xboxone
50,3DO Interactive Multiplayer,https://www.igdb.com/platforms/3do
51,Family Computer Disk System,https://www.igdb.com/platforms/fds
52,Arcade,https://www.igdb.com/platforms/arcade
53,MSX2,https://www.igdb.com/platforms/msx2
55,Legacy Mobile Device,https://www.igdb.com/platforms/mobile
57,WonderSwan,https://www.igdb.com/platforms/wonderswan
58,Super Famicom,https://www.igdb.com/platforms/sfam
59,Atari 2600,https://www.igdb.com/platforms/atari2600
60,Atari 7800,https://www.igdb.com/platforms/atari7800
61,Atari Lynx,https://www.igdb.com/platforms/lynx
62,Atari Jaguar,https://www.igdb.com/platforms/jaguar
63,Atari ST/STE,https://www.igdb.com/platforms/atari-st
64,Sega Master System/Mark III,https://www.igdb.com/platforms/sms
65,Atari 8-bit,https://www.igdb.com/platforms/atari8bit
66,Atari 5200,https://www.igdb.com/platforms/atari5200
67,Intellivision,https://www.igdb.com/platforms/intellivision
68,ColecoVision,https://www.igdb.com/platforms/colecovision
69,BBC Microcomputer System,https://www.igdb.com/platforms/bbcmicro
70,Vectrex,https://www.igdb.com/platforms/vectrex
71,Commodore VIC-20,https://www.igdb.com/platforms/vic-20
72,Ouya,https://www.igdb.com/platforms/ouya
73,BlackBerry OS,https://www.igdb.com/platforms/blackberry
74,Windows Phone,https://www.igdb.com/platforms/winphone
75,Apple II,https://www.igdb.com/platforms/appleii
77,Sharp X1,https://www.igdb.com/platforms/x1
78,Sega CD,https://www.igdb.com/platforms/segacd
79,Neo Geo MVS,https://www.igdb.com/platforms/neogeomvs
80,Neo Geo AES,https://www.igdb.com/platforms/neogeoaes
82,Web browser,https://www.igdb.com/platforms/browser
84,SG-1000,https://www.igdb.com/platforms/sg1000
85,Donner Model 30,https://www.igdb.com/platforms/donner30
86,TurboGrafx-16/PC Engine,https://www.igdb.com/platforms/turbografx16--1
87,Virtual Boy,https://www.igdb.com/platforms/virtualboy
88,Odyssey,https://www.igdb.com/platforms/odyssey--1
89,Microvision,https://www.igdb.com/platforms/microvision--1
90,Commodore PET,https://www.igdb.com/platforms/cpet
91,Bally Astrocade,https://www.igdb.com/platforms/astrocade
93,Commodore 16,https://www.igdb.com/platforms/c16
94,Commodore Plus/4,https://www.igdb.com/platforms/c-plus-4
95,PDP-1,https://www.igdb.com/platforms/pdp1
96,PDP-10,https://www.igdb.com/platforms/pdp10
97,PDP-8,https://www.igdb.com/platforms/pdp-8--1
98,DEC GT40,https://www.igdb.com/platforms/gt40
99,Family Computer,https://www.igdb.com/platforms/famicom
100,Analogue electronics,https://www.igdb.com/platforms/analogueelectronics
101,Ferranti Nimrod Computer,https://www.igdb.com/platforms/nimrod
102,EDSAC,https://www.igdb.com/platforms/edsac--1
103,PDP-7,https://www.igdb.com/platforms/pdp-7--1
104,HP 2100,https://www.igdb.com/platforms/hp2100
105,HP 3000,https://www.igdb.com/platforms/hp3000
106,SDS Sigma 7,https://www.igdb.com/platforms/sdssigma7
107,Call-A-Computer time-shared mainframe computer system,https://www.igdb.com/platforms/call-a-computer
108,PDP-11,https://www.igdb.com/platforms/pdp11
109,CDC Cyber 70,https://www.igdb.com/platforms/cdccyber70
110,PLATO,https://www.igdb.com/platforms/plato--1
111,Imlac PDS-1,https://www.igdb.com/platforms/imlac-pds1
112,Microcomputer,https://www.igdb.com/platforms/microcomputer--1
113,OnLive Game System,https://www.igdb.com/platforms/onlive-game-system
114,Amiga CD32,https://www.igdb.com/platforms/amiga-cd32
115,Apple IIGS,https://www.igdb.com/platforms/apple-iigs
116,Acorn Archimedes,https://www.igdb.com/platforms/acorn-archimedes
117,Philips CD-i,https://www.igdb.com/platforms/philips-cd-i
118,FM Towns,https://www.igdb.com/platforms/fm-towns
119,Neo Geo Pocket,https://www.igdb.com/platforms/neo-geo-pocket
120,Neo Geo Pocket Color,https://www.igdb.com/platforms/neo-geo-pocket-color
121,Sharp X68000,https://www.igdb.com/platforms/sharp-x68000
122,Nuon,https://www.igdb.com/platforms/nuon
123,WonderSwan Color,https://www.igdb.com/platforms/wonderswan-color
124,SwanCrystal,https://www.igdb.com/platforms/swancrystal
125,PC-8801,https://www.igdb.com/platforms/pc-8801
126,TRS-80,https://www.igdb.com/platforms/trs-80
127,Fairchild Channel F,https://www.igdb.com/platforms/fairchild-channel-f
128,PC Engine SuperGrafx,https://www.igdb.com/platforms/supergrafx
